ID|Title|Publishers|Year_North_America|Year_JP|Category|Description
12|Accele Brid|Tomy||1993|Action|"Accele Brid is a futuristic racing game where players pilot high-speed vehicles through challenging tracks. Use speed and skill to outmaneuver opponents and claim victory in this adrenaline-pumping game."
13|ACME Animation Factory|Sunsoft|1994||Action|"ACME Animation Factory is a creative tool that allows players to create their animations using various tools and characters from Looney Tunes. Let your imagination run wild and bring your cartoons to life."
14|Acrobat Mission|Techiku||1992|Shooter|"Acrobat Mission is a vertical scrolling shooter game where players control advanced aircraft to battle against enemy forces. Dodge incoming fire, collect power-ups, and defeat bosses in this intense arcade experience."
15|Action Pachio|Coconuts Japan||1993|Platformer|"Action Pachio is a platformer game featuring a character named Pachio who must navigate through various levels filled with obstacles and enemies. Jump, run, and collect items to reach the end of each stage."
16|ActRaiser|Enix|1991|1990|Action-adventure|"ActRaiser is an action-adventure game that combines side-scrolling platforming with city-building simulation. Players take on the role of a deity to guide civilization's growth and protect them from evil forces."
17|ActRaiser 2•ActRaiser 2: Chinmoku e no SeisenJP|Enix|1993|1993|Action-adventure|"ActRaiser 2, also known as ActRaiser 2: Chinmoku e no Seisen in Japan, is the sequel to the original game. Players continue the divine quest to restore peace and balance between the realms of action and simulation."
18|The Addams Family|Ocean Software|1992|1992|Action|"The Addams Family is an action platformer based on the popular TV series and comic strip. Players control Gomez Addams as he explores creepy locations, battles enemies, and rescues family members."
19|The Addams Family: Pugsley's Scavenger Hunt|Ocean Software|1993||Action|"The Addams Family: Pugsley's Scavenger Hunt is a sequel to the original game, focusing on Pugsley Addams' misadventures. Help Pugsley navigate through challenging levels and puzzles to complete his scavenger hunt."
20|Addams Family Values|Ocean Software|1995||Adventure|"Addams Family Values is a video game based on the film of the same name. The game follows the Addams family as they try to rescue baby Pubert from various villains."
21|The Adventures of Batman & Robin|Konami|1994||Action|"The Adventures of Batman & Robin is a side-scrolling action game featuring the iconic DC Comics characters. Players control Batman as he battles against various villains in Gotham City."
22|The Adventures of Dr. Franken|DTMC (NA)Elite Systems (EU)|1993||Adventure|"The Adventures of Dr. Franken is a platform game where players control Dr. Franken as he navigates through levels to collect body parts for his monster. Released by DTMC in North America and Elite Systems in Europe."
23|The Adventures of Mighty Max|Ocean Software|1995||Action|"The Adventures of Mighty Max is a platformer game based on the Mighty Max toy line. Players control Max as he battles enemies across different levels to save the world from evil forces."
24|The Adventures of Rocky and Bullwinkle and Friends|THQ|1993||Adventure|"The Adventures of Rocky and Bullwinkle and Friends is a video game adaptation of the animated TV series. Players control Rocky and Bullwinkle as they embark on various adventures and solve puzzles."
25|The Adventures of Tintin: Prisoners of the Sun|Infogrames|1997||Adventure|"The Adventures of Tintin: Prisoners of the Sun is an adventure game based on the popular Tintin comic series. Players guide Tintin and his friends as they unravel mysteries and uncover hidden treasures."
26|Adventures of Yogi Bear•Yogi Bear's Cartoon CapersEU|Cybersoft|1994|1995|Adventure|"Adventures of Yogi Bear is a platformer game featuring the popular Hanna-Barbera character, Yogi Bear. Players control Yogi as he navigates through Jellystone Park to save his friends and stop the villains."
27|Aero Fighters•Sonic WingsJP|Video System (JP)MC O'River (NA)||1993|Shooter|"Aero Fighters, also known as Sonic Wings in Japan, is a vertical-scrolling shooter game. Players pilot aircraft to battle against enemy forces and bosses across multiple levels."
28|Aero the Acro-Bat|Sunsoft|1993||Platformer|"Aero the Acro-Bat is a platformer game where players control Aero, a circus acrobat, on a mission to stop an evil former clown. The game features challenging levels and unique abilities for Aero."
29|Aero the Acro-Bat 2|Sunsoft|1994||Platformer|"Aero the Acro-Bat 2 is the sequel to the original game, featuring new levels and challenges for Aero to overcome. Players must guide Aero through various obstacles and enemies to save the circus."
30|Aerobiz•Air Management: Oozora ni KakeruJP|Koei|1993|1992|Simulation|"Aerobiz is a simulation game where players manage an airline company. The goal is to expand routes, purchase aircraft, and compete with rival airlines to become the leading aviation tycoon."
31|Aerobiz Supersonic•Air Management II: Koukuu Ou wo MezaseJP|Koei|1994|1993|Simulation|"Aerobiz Supersonic is the sequel to Aerobiz, offering enhanced gameplay and features. Players continue to manage their airline company and strive for success in the competitive aviation industry."
32|Aim for the Ace!|Nippon Telenet|Unreleased|1993|Sports|"Aim for the Ace! is a tennis simulation game based on the manga and anime series of the same name. Players compete in tennis matches and tournaments to become the top player in the sport."
33|Air Cavalry|Cybersoft|1995||Action|"Air Cavalry is a helicopter combat game where players pilot different choppers in missions to eliminate enemy targets. The game features varied landscapes and challenging objectives."
34|Al Unser Jr.'s Road to the Top|Mindscape|1994||Racing|"Al Unser Jr.'s Road to the Top is a racing game endorsed by the professional driver Al Unser Jr. Players compete in races and championships to climb to the top of the racing world."
35|Albert Odyssey|Sunsoft|Unreleased|1993|Role-Playing|"Albert Odyssey is a role-playing game set in a fantasy world. Players embark on an epic journey, battling monsters and uncovering the mysteries of the land."
36|Albert Odyssey 2|Sunsoft|Unreleased|1994|Role-Playing|"Albert Odyssey 2 is the sequel to the original game, offering new adventures and challenges for players. Dive into a rich fantasy world and experience a captivating role-playing experience."
37|Alcahest|Square|Unreleased|1993|Action-Adventure|"Alcahest is an action-adventure game where players control the hero Alen on a quest to defeat the evil sorcerer Alcahest. The game combines action-packed combat with puzzle-solving elements."
38|Alice's Paint Adventure|Epoch Co.|Unreleased|1995|Educational|"Alice's Paint Adventure is an educational game that encourages creativity and artistic expression. Players can explore different painting tools and colors to create unique artworks."
39|Alien 3|LJN|1993|1994|Action|"Alien 3 is a video game adaptation of the film of the same name. Players take on the role of Ellen Ripley as she battles against xenomorphs in a series of intense and challenging levels."
40|Alien vs Predator•Aliens vs PredatorJP|Activision|1993|1993|Action| "Alien vs Predator is a classic action game released in 1993. Players can choose to play as either the Alien or the Predator, each with unique abilities and playstyles. The game features intense combat and challenging levels, making it a must-play for fans of the franchise."
41|The Amazing Spider-Man: Lethal Foes|Epoch Co.|Unreleased|1995|Action| "The Amazing Spider-Man: Lethal Foes is a thrilling action game based on the popular comic book character. Players take on the role of Spider-Man as he battles his iconic foes in fast-paced combat. With impressive graphics and engaging gameplay, this game is sure to entertain fans of the web-slinger."
42|America Oudan Ultra Quiz|Tomy|Unreleased|1992|Trivia| "America Oudan Ultra Quiz is a challenging trivia game that tests players' knowledge of American culture. With a variety of questions spanning different categories, players can put their knowledge to the test and learn new facts along the way. A fun and educational game for trivia enthusiasts."
43|American Battle Dome|Tsukuda Original|Unreleased|1995|Fighting| "American Battle Dome is an action-packed fighting game that pits players against each other in intense battles. With a variety of characters to choose from and special moves to master, players can engage in thrilling combat and prove their skills. Get ready to fight your way to victory!"
44|American Gladiators|GameTek|1993|Unreleased|Sports| "American Gladiators is a sports game based on the popular TV show. Players can compete in various events inspired by the show, such as The Wall and Assault. With competitive gameplay and multiplayer options, this game offers hours of entertainment for fans of the series."
45|An American Tail: Fievel Goes West•Amerika Monogatari 2 and Faiberu nishi e IkuJP|Hudson Soft|1994|Unreleased|Adventure| "An American Tail: Fievel Goes West is an adventure game that follows the story of Fievel Mousekewitz as he journeys to the Wild West. Players must help Fievel navigate through various obstacles and challenges to reach his destination. With charming graphics and engaging gameplay, this game is a nostalgic treat for fans of the movie."
46|Ancient Magic: Bazoo! Mahou Sekai|Hot-B|Unreleased|1993|Role-Playing| "Ancient Magic: Bazoo! Mahou Sekai is a role-playing game set in a magical world filled with mysteries and adventures. Players take on the role of Bazoo, a young mage with extraordinary powers, on a quest to save the realm from darkness. With a captivating story and strategic gameplay, this game offers a magical experience for players."
47|Andre Agassi Tennis|TecMagik|1994|1994|Sports| "Andre Agassi Tennis is a sports game that allows players to step into the shoes of the legendary tennis player. With realistic gameplay and challenging opponents, players can test their skills on the court and compete in various tournaments. Whether you're a tennis fan or a gaming enthusiast, this game offers a fun and competitive experience."
48|Angelique|Koei, NEC|Unreleased|1994|Simulation| "Angelique is a simulation game that puts players in the role of a young woman tasked with managing a fantasy world. Players must make strategic decisions to build relationships with characters, manage resources, and navigate political intrigue. With engaging storytelling and immersive gameplay, this game offers a unique and captivating experience for players."
49|Angelique Voice Fantasy|Koei, NEC|Unreleased|1996|Simulation| "Angelique Voice Fantasy is a simulation game that combines elements of romance and fantasy. Players can interact with charming characters, make choices that impact the story, and experience a captivating narrative. With beautiful artwork and voice acting, this game offers a delightful and immersive experience for players."
50|Animaniacs|Konami|1994|1997|Platform| "Animaniacs is a platformer game featuring the zany characters from the popular animated series. Players can control Yakko, Wakko, and Dot as they navigate through wacky levels filled with humor and challenges. With colorful graphics and entertaining gameplay, this game captures the spirit of the beloved show."
51|Appleseed: Oracle of Prometheus|Visit|Unreleased|1994|Action| "Appleseed: Oracle of Prometheus is an action game based on the popular manga series. Players take on the role of Deunan Knute as she battles enemies in a futuristic world. With fast-paced combat and stylish visuals, this game offers an exciting experience for fans of the franchise."
52|Arabian Nights: Spirit of the Desert King|Takara|Unreleased|1996|Adventure| "Arabian Nights: Spirit of the Desert King is an adventure game set in a mystical world inspired by Arabian folklore. Players embark on a quest to uncover ancient secrets and restore balance to the kingdom. With immersive storytelling and atmospheric visuals, this game offers a captivating journey for players."
53|Araiguma Rascal|Masaya|Unreleased|1994|Platform| "Araiguma Rascal is a charming platformer game featuring the lovable raccoon Rascal. Players must guide Rascal through various levels filled with obstacles and enemies, using his agility and wit to overcome challenges. With colorful graphics and engaging gameplay, this game is a delightful adventure for players of all ages."
54|Arcade's Greatest Hits: The Atari Collection 1|Midway Games|1997|Unreleased|Compilation| "Arcade's Greatest Hits: The Atari Collection 1 is a compilation of classic arcade games from Atari. Players can enjoy timeless favorites such as Asteroids, Centipede, and Missile Command in one convenient package. With retro graphics and addictive gameplay, this collection offers a nostalgic trip down memory lane for arcade enthusiasts."
55|Arcana•Card MasterJP|HAL Laboratory|1992|1992|Role-Playing| "Arcana•Card Master is a role-playing game that combines card-based combat with traditional RPG elements. Players collect cards representing spells and abilities to use in battles against enemies. With strategic gameplay and a compelling story, this game offers a unique twist on the RPG genre."
56|Arcus Spirits|Sammy Studios|Cancelled|1993|Role-Playing| "Arcus Spirits is a role-playing game that follows the adventures of a group of heroes in a fantasy world. Players must explore dungeons, battle monsters, and uncover the secrets of the Arcus universe. With colorful visuals and engaging gameplay, this game promises an epic quest for players to enjoy."
57|Ardy Lightfoot|Titus Software (NA and EU)|1994|1993|Platform| "Ardy Lightfoot is a platformer game starring the brave fox Ardy on a quest to rescue his friends. Players must navigate through challenging levels, solve puzzles, and defeat enemies to save the day. With vibrant graphics and tight controls, this game offers a fun and rewarding platforming experience."
58|Aretha the Super Famicom|Yanoman|Unreleased|1993|Role-Playing| "Aretha the Super Famicom is a role-playing game that follows the journey of a young heroine named Aretha. Players must guide Aretha through a magical world, battle monsters, and uncover the truth about her destiny. With engaging storytelling and strategic gameplay, this game offers an immersive RPG experience for players."
59|Aretha II: Ariel no Fushigi na Tabi|Yanoman|Unreleased|1994|Role-Playing| "Aretha II: Ariel no Fushigi na Tabi is a role-playing game that continues the story of the heroine Aretha. Players embark on a new adventure filled with mysteries, challenges, and memorable characters. With improved gameplay mechanics and expanded lore, this game offers a compelling sequel for fans of the series."
60|Arkanoid: Doh It Again|Taito, Nintendo|1997|1997|Arcade| "Arkanoid: Doh It Again is a classic arcade game where players control a paddle to bounce a ball and break bricks. With updated graphics and new levels, it offers a fresh take on the original Arkanoid game."
61|Armored Police Metal Jack|Atlus|Cancelled|1992|Action| "Armored Police Metal Jack is an action game based on the anime series of the same name. Players control mechs to battle enemies and save the city from destruction."
62|Art of Fighting•Ryuuko no KenJP|Takara|1993|1993|Fighting| "Art of Fighting, also known as Ryuuko no Ken in Japan, is a classic fighting game that features unique characters and special moves. Test your skills in one-on-one combat against challenging opponents."
63|Asahi Shinbun Rensai: Katou Ichi-Ni-San Shougi: Shingiryuu|Varie|Unreleased|1995|Strategy| "Asahi Shinbun Rensai: Katou Ichi-Ni-San Shougi: Shingiryuu is a shogi simulation game that challenges players' strategic thinking and shogi skills. Compete against AI opponents and hone your tactics."
64|Asameshimae Nyanko|Zamuse|Unreleased|1994|Action| "Asameshimae Nyanko is an action game where players control a cat character on a mission to save the world. Use various abilities and power-ups to defeat enemies and progress through levels."
65|Ashita no Joe|K Amusement Leasing|Unreleased|1992|Sports| "Ashita no Joe is a boxing game based on the popular manga and anime series. Step into the ring as Joe Yabuki and experience the intense world of professional boxing."
66|Asterix|Infogrames|Cancelled|Unreleased|Action| "Asterix is an action-packed game based on the beloved comic book series. Join Asterix and Obelix on a wild adventure through ancient Gaul as they battle Roman soldiers and outsmart their enemies."
67|Asterix & Obelix|Infogrames|Unreleased|1996|Action| "Asterix & Obelix is a co-op action game where players control the iconic Gauls as they embark on a quest to protect their village from Roman invaders. Join forces with a friend for double the fun!"
68|The Atlas|Pack-In-Video|Unreleased|1995|Adventure| "The Atlas is an adventure game that takes players on a journey through mysterious lands in search of hidden treasures. Solve puzzles, interact with characters, and uncover the secrets of the ancient world."
69|Axelay †|Konami|1992|1992|Shooter| "Axelay is a classic shoot 'em up game known for its fast-paced action and challenging gameplay. Pilot the advanced Axelay fighter spacecraft and take on waves of enemy forces in a battle for survival."
70|B.O.B.•Space Funky B.O.B.JP|Electronic Arts|1993|1993|Platformer| "B.O.B., also known as Space Funky B.O.B. in Japan, is a side-scrolling platformer where players control a robot on a mission to rescue his girlfriend. Navigate through hazardous environments and defeat enemies using a variety of weapons."
71|Bahamut Lagoon|Square|Unreleased|1996|Role-Playing| "Bahamut Lagoon is a tactical role-playing game that combines strategic battles with engaging storytelling. Command a squad of dragons and warriors to save the kingdom from dark forces."
72|Bakukyuu Renpatsu!! Super B-Daman|Hudson Soft|Unreleased|1997|Action| "Bakukyuu Renpatsu!! Super B-Daman is an action game based on the popular B-Daman toy line. Customize your B-Daman and compete in fast-paced marble-shooting battles against rivals."
73|Bakumatsu Kourinden Oni|Banpresto|Unreleased|1996|Fighting| "Bakumatsu Kourinden Oni is a fighting game set in the Bakumatsu period of Japan. Choose from a diverse roster of historical characters and engage in intense one-on-one battles."
74|Bakuto Dochers|Bullet-Proof Software|Unreleased|1994|Action| "Bakuto Dochers is an action game where players control characters with unique abilities in fast-paced battles. Master different fighting styles and combos to defeat your opponents."
75|Ball Bullet Gun: Survival Game Simulation|"I'MAX"|Unreleased|1995|Simulation| "Ball Bullet Gun: Survival Game Simulation is a realistic simulation game that puts players in the shoes of survival game participants. Test your survival skills in various scenarios and see if you have what it takes to endure."
76|Ballz 3D•3 Jigen Kakuto: BallzJP|Accolade|1994|1995|Fighting| "Ballz 3D, also known as 3 Jigen Kakuto: Ballz in Japan, is a 3D fighting game with a unique roster of characters and interactive arenas. Battle against opponents in intense one-on-one combat and unleash powerful attacks."
77|Barbarossa|Sammy Corporation|Unreleased|1992|Strategy| "Barbarossa is a strategy game that simulates historical battles and political intrigue during the reign of Frederick Barbarossa. Lead armies, forge alliances, and conquer territories to establish your empire."
78|Barbie: Super Model|Hi Tech Expressions|1993|Unreleased|Simulation| "Barbie: Super Model is a simulation game where players take on the role of Barbie as she embarks on a glamorous modeling career. Customize outfits, strike poses, and walk the runway in fashion shows around the world."
79|Barkley Shut Up and Jam!•Barkley's Power DunkJP|Accolade|1994|1994|Sports| "Barkley Shut Up and Jam!, also known as Barkley's Power Dunk in Japan, is a basketball game featuring fast-paced matches and high-flying dunks. Compete against AI or friends in exciting basketball action."
80|Bass Masters Classic|Malibu Games|1995|1995|Fishing| "Bass Masters Classic is a fishing video game released in 1995. The game features various fishing tournaments and challenges for players to compete in."
81|Bass Masters Classic: Pro Edition|Black Pearl Software|1996|1996|Fishing| "Bass Masters Classic: Pro Edition is an enhanced version of the original fishing game released in 1996. It offers improved graphics and additional gameplay features."
82|Bassin's Black Bass with Hank Parker•Super Black Bass 2JP|Hot-B|1994|1994|Fishing| "Bassin's Black Bass with Hank Parker•Super Black Bass 2JP is a fishing simulation game released in 1994. Players can enjoy realistic fishing experiences in various locations."
83|Bastard!!: Ankoku no Hakai-shin|Cobra Team|1994|||Action| "Bastard!!: Ankoku no Hakai-shin is an action game based on the manga series. Players control the protagonist as he battles enemies using various abilities and weapons."
84|Batman Forever|Acclaim Entertainment|1995|1995|Action| "Batman Forever is an action game based on the popular superhero. Players take on the role of Batman as he fights against villains in Gotham City."
85|Batman Returns|Konami|1993|1993|Action| "Batman Returns is an action game based on the movie of the same name. Players control Batman as he battles against the Penguin and Catwoman in the streets of Gotham."
86|Battle Blaze|American Sammy|1993|1992|Fighting| "Battle Blaze is a fighting game released in 1993. Players can choose from a variety of characters, each with unique fighting styles and special moves."
87|Battle Cars|Namco|1993|||Racing| "Battle Cars is a racing game featuring combat elements. Players can customize their vehicles with weapons and compete in high-speed battles."
88|Battle Clash•Space BazookaJP|Nintendo|1992|1993|Shooter| "Battle Clash•Space BazookaJP is a shooter game where players control a giant robot in battles against other mechs. The game features intense action and challenging opponents."
89|Battle Commander: Hachibushuu Shura no Heihou|Banpresto|1991|||Strategy| "Battle Commander: Hachibushuu Shura no Heihou is a strategy game set in a fantasy world. Players must command armies and lead them to victory in tactical battles."
90|Battle Cross|Imagineer|1994|||Action| "Battle Cross is an action game featuring fast-paced gameplay and intense battles. Players can choose from different characters, each with unique abilities."
91|Battle Dodge Ball|Banpresto|1991|||Sports| "Battle Dodge Ball is a sports game that combines dodgeball with action-packed gameplay. Players compete in dodgeball matches against various teams to become the ultimate champions."
92|Battle Dodge Ball II|Banpresto|1993|||Sports| "Battle Dodge Ball II is the sequel to the original dodgeball game, featuring improved graphics and gameplay mechanics. Players can enjoy intense dodgeball matches against challenging opponents."
93|Battle Grand Prix|Hudson Soft|1993|1992|Racing| "Battle Grand Prix is a racing game where players compete in high-speed races against AI opponents. The game features a variety of tracks and vehicles to choose from."
94|Battle Jockey|Virgin Interactive|1994|||Sports| "Battle Jockey is a sports game that combines horse racing with strategic gameplay. Players must manage their horses and make tactical decisions to win races."
95|Battle Master: Kyuukyoku no Senshitachi|Toshiba|1993|||Action| "Battle Master: Kyuukyoku no Senshitachi is an action game where players control powerful warriors in epic battles. The game features intense combat and challenging enemies."
96|Battle Pinball|Banpresto|1995|||Pinball| "Battle Pinball is a pinball game featuring various themed tables and challenges. Players can test their skills and aim for high scores in this arcade-style game."
97|Battle Racers|Banpresto|1995|||Racing| "Battle Racers is a racing game where players can customize their vehicles and compete in high-speed races. The game offers a variety of tracks and challenges to overcome."
98|Battle Robot Retsuden|Banpresto|1995|||Action| "Battle Robot Retsuden is an action game where players control giant robots in battles against other mechs. The game features intense combat and strategic gameplay."
99|Battle Soccer: Field no Hasha|Banpresto|1992|||Sports| "Battle Soccer: Field no Hasha is a sports game that combines soccer with action-packed gameplay. Players can choose from different teams and compete in exciting matches."
100|Battle Soccer 2|Banpresto|Unreleased|1994|Sports|"Battle Soccer 2 is a soccer video game developed by Pandora Box. It was released in Japan on November 25, 1994. The game features intense soccer matches with various teams and players."
101|Battle Submarine|Pack-In-Video|Unreleased|1995|Action|"Battle Submarine is an action game developed by Office Koukan. It was released in Japan on December 22, 1995. Players control a submarine to engage in underwater battles and missions."
102|Battletoads & Double Dragon|Tradewest|1993|Unreleased|Action|"Battletoads & Double Dragon is an action game developed by Rare. It was released in North America on December 1, 1993. The game features a crossover between the Battletoads and Double Dragon franchises."
103|Battletoads in Battlemaniacs|Tradewest|1993|1994|Action|"Battletoads in Battlemaniacs is an action game developed by Rare. It was released in Japan on January 7, 1994. Players control the Battletoads in their quest to defeat the evil Dark Queen."
104|Battle Tycoon: Flash Hiders SFX|Right Stuff|Unreleased|1995|Strategy|"Battle Tycoon: Flash Hiders SFX is a strategy game developed by Right Stuff. It was released in Japan on May 19, 1995. Players manage a team of warriors in battles to become the ultimate champion."
105|Battle Zeque Den|Asmik Ace Entertainment|Unreleased|1994|Action|"Battle Zeque Den is an action game developed by Arsys Software. It was released in Japan on July 15, 1994. Players embark on a journey to save the kingdom from dark forces."
106|Bazooka Blitzkrieg•DestructiveJP|Bandai|1992|1993|Action|"Bazooka Blitzkrieg is an action game developed by Tose. It was released in North America on December 31, 1992. Players control powerful mechs in intense battles against enemies."
107|Beavis and Butt-head|Viacom New Media|1994|Unreleased|Adventure|"Beavis and Butt-head is an adventure game developed by Realtime Associates. It was released in North America on November 1, 1994. Players control the iconic duo in humorous and mischievous adventures."
108|Bébé's Kids|Motown Software|1994|Unreleased|Action|"Bébé's Kids is an action game developed by Radical Entertainment. It was released in North America on April 19, 1994. Players navigate through various levels inspired by the animated film."
109|Beethoven: The Ultimate Canine Caper•Beethoven's 2ndEU|Hi Tech Expressions|1993|1993|Action|"Beethoven: The Ultimate Canine Caper is an action game developed by Riedel Software Productions. It was released in North America on December 17, 1993. Players control the lovable St. Bernard in a series of adventures."
110|Benkei Gaiden: Suna no Shou|Sunsoft|Unreleased|1992|Action|"Benkei Gaiden: Suna no Shou is an action game developed by Sunsoft. It was released in Japan on December 18, 1992. Players assume the role of the legendary warrior Benkei on a quest for justice."
111|Best of the Best: Championship Karate•Super Kick BoxingJP|Electro Brain|1993|1993|Sports|"Best of the Best: Championship Karate is a sports game developed by Loriciel. It was released in Japan on March 5, 1993. Players compete in intense karate matches to become the ultimate champion."
112|Big Sky Trooper|JVC Musical Industries|1995|Unreleased|Action|"Big Sky Trooper is an action game developed by LucasArts. It was released in North America on October 10, 1995. Players embark on an intergalactic adventure to save the galaxy from alien threats."
113|Best Shot Pro Golf|ASCII|Unreleased|1996|Sports|"Best Shot Pro Golf is a sports game developed by KID. It was released in Japan on June 14, 1996. Players compete in golf tournaments across various courses to become the best golfer."
114|Big Ichigeki! Pachi-Slot Daikouryaku|Ask Koudansha|Unreleased|1994|Simulation|"Big Ichigeki! Pachi-Slot Daikouryaku is a simulation game developed by Syscom. It was released in Japan on December 16, 1994. Players experience the thrill of playing pachi-slot machines in a virtual casino."
115|Big Ichigeki! Pachi-Slot Daikouryaku 2|Ask Koudansha|Unreleased|1995|Simulation|"Big Ichigeki! Pachi-Slot Daikouryaku 2 is a simulation game developed by Syscom. It was released in Japan on July 21, 1995. Players enjoy an enhanced pachi-slot experience with new machines and features."
116|Bike Daisuki! Hashiriya Kon: Rider's Spirits|Masaya|Unreleased|1994|Racing|"Bike Daisuki! Hashiriya Kon: Rider's Spirits is a racing game developed by Genki. It was released in Japan on September 30, 1994. Players participate in high-speed motorcycle races across various tracks."
117|Biker Mice from Mars|Konami|1994|Unreleased|Racing|"Biker Mice from Mars is a racing game developed by Konami. It was released in North America on December 1, 1994. Players control the Biker Mice in fast-paced races against their enemies."
118|Bill Laimbeer's Combat Basketball|Hudson Soft|1991|Unreleased|Sports|"Bill Laimbeer's Combat Basketball is a sports game developed by Hewson Consultants. It was released in North America on December 1, 1991. Players engage in futuristic basketball matches with intense gameplay."
119|Bill Walsh College Football|EA Sports|1994|Unreleased|Sports|"Bill Walsh College Football is a sports game developed by Visual Concepts. It was released in North America in February 1994. Players coach and manage their college football team to victory."
120|Bing Bing! Bingo|KSS| |1993| |"Bing Bing! Bingo is a Japanese bingo game developed by Copya Systems and published by KSS on December 22, 1993."
121|BioMetal|Activision|1993|1993| |"BioMetal is a shooter video game developed by Athena and published by Activision. It was released in Japan on March 19, 1993, and in North America on November 1993."
122|Bishoujo Janshi Suchie-Pai|Jaleco| |1993| |"Bishoujo Janshi Suchie-Pai is a Japanese mahjong video game developed by DCE and published by Jaleco on July 30, 1993."
123|Bishoujo Senshi Sailor Moon: Another Story|Angel| |1995| |"Bishoujo Senshi Sailor Moon: Another Story is a role-playing video game developed by Arc System Works and TNS and published by Angel. It was released in Japan on September 22, 1995."
124|Bishoujo Senshi Sailor Moon: Sailor Stars Fuwa Fuwa Panic 2|Bandai| |1996| |"Bishoujo Senshi Sailor Moon: Sailor Stars Fuwa Fuwa Panic 2 is a puzzle video game developed and published by Bandai. It was released in Japan on September 27, 1996."
125|Bishoujo Senshi Sailor Moon R|Bandai| |1993| |"Bishoujo Senshi Sailor Moon R is a fighting game developed by Arc System Works and published by Bandai. It was released in Japan on December 29, 1993."
126|Bishoujo Senshi Sailormoon S: Jougai Rantou!? Shuyaku Soudatsusen|Angel| |1994| |"Bishoujo Senshi Sailormoon S: Jougai Rantou!? Shuyaku Soudatsusen is a fighting game developed by Arc System Works and published by Angel. It was released in Japan on December 16, 1994."
127|Bishoujo Senshi Sailor Moon S: Kondo ha Puzzle de Oshiokiyo!|Bandai| |1994| |"Bishoujo Senshi Sailor Moon S: Kondo ha Puzzle de Oshiokiyo! is a puzzle video game developed by Tom Create and published by Bandai. It was released in Japan on July 15, 1994."
128|Bishoujo Senshi Sailor Moon S: Kurukkurin|Bandai| |1995| |"Bishoujo Senshi Sailor Moon S: Kurukkurin is a puzzle video game developed by Tom Create and published by Bandai. It was released in Japan on February 24, 1995."
129|Bishoujo Senshi Sailor Moon SuperS: Fuwa Fuwa Panic|Bandai| |1995| |"Bishoujo Senshi Sailor Moon SuperS: Fuwa Fuwa Panic is a puzzle video game developed by Tom Create and published by Bandai. It was released in Japan on December 8, 1995."
