query_id	country	action	comedy	drama
qid:14283	US	0.7	0.1	0.2
qid:1954	US	0.3	0.5	0.2
qid:3647	UK	0.6	0.2	0.2
qid:4978	US	0.4	0.4	0.2
qid:12866	US	0.3	0.2	0.5
qid:7737	US	0.2	0.6	0.2
qid:1597	US	0.6	0.3	0.1
qid:6988	US	0.2	0.7	0.1
qid:5290	US	0.4	0.4	0.2
qid:11710	US	0.3	0.7	0.0
qid:15855	US	0.2	0.5	0.3
qid:7502	NO	0.4	0.3	0.3
qid:5229	CA	0.7	0.2	0.1
qid:12860	US	0.3	0.3	0.4
qid:1848	US	0.5	0.3	0.2
qid:4928	US	0.4	0.3	0.3
qid:14250	US	0.5	0.2	0.3
qid:13344	US	0.3	0.5	0.2
qid:15852	US	0.2	0.3	0.5
qid:3577	MX	0.6	0.2	0.2
qid:4861	JP	0.7	0.1	0.2
qid:6962	US	0.4	0.3	0.3
qid:13322	US	0.6	0.2	0.2
qid:4948	JP	0.3	0.5	0.2
qid:3643	US	0.7	0.1	0.2
qid:12858	US	0.3	0.6	0.1
qid:2424	DE	0.2	0.5	0.3
qid:14213	KR	0.6	0.2	0.2
qid:1681	US	0.5	0.3	0.2
qid:15857	US	0.6	0.3	0.1
qid:11723	US	0.4	0.4	0.2
qid:9233	US	0.6	0.2	0.2
qid:4941	US	0.5	0.4	0.1
qid:3775	KR	0.3	0.3	0.4
qid:1908	US	0.4	0.3	0.3
qid:751	US	0.5	0.4	0.1
qid:13343	US	0.2	0.4	0.4
qid:5149	US	0.3	0.6	0.1
qid:12870	US	0.4	0.2	0.4
qid:4870	US	0.7	0.1	0.2
qid:3745	UK	0.3	0.3	0.4
qid:1680	US	0.9	0.1	0
qid:7407	US	0.1	0.3	0.6
qid:7724	US	0.7	0.1	0.2
qid:2531	US	0.8	0.1	0.1
qid:5199	UK	0.1	0.8	0.1
qid:4926	US	0.9	0.1	0
qid:1950	US	0.8	0.1	0.1
qid:3688	US	0.9	0.1	0
qid:9203	US	0.7	0.1	0.2
qid:1651	UK	0.2	0.3	0.5
qid:6984	US	0.6	0.2	0.2
qid:7442	US	0.2	0.8	0
qid:12864	US	0.9	0	0.1
qid:2001	US	0.1	0.6	0.3
qid:2539	BR	0.4	0.1	0.5
qid:15464	FR	0.3	0.3	0.4
qid:9901	IN	0.5	0.2	0.3
qid:15859	US	0.2	0.1	0.7
qid:3708	US	0.8	0.1	0.1
qid:9260	US	0.6	0.3	0.1
qid:9593	US	0.5	0.1	0.4
qid:7728	HK	0.8	0.1	0.1
qid:5126	US	0.9	0.1	0
qid:9838	US	0.6	0.3	0.1
qid:7448	US	0.7	0.1	0.2
qid:15517	US	0.2	0.7	0.1
qid:1942	US	0.7	0.2	0.1
qid:12879	US	0.3	0.2	0.5
qid:9213	US	0.7	0.2	0.1
qid:5132	US	0.9	0	0.1
qid:3613	US	0.6	0.2	0.2
qid:7022	US	0.8	0.1	0.1
qid:14246	US	0.4	0.4	0.2
qid:15351	US	0.8	0.1	0.1
qid:1586	UK	0.3	0.2	0.5
qid:1956	US	0.8	0.1	0.1
qid:7508	US	0.1	0.5	0.4
qid:2411	IN	0.3	0.1	0.6
qid:15865	US	0.8	0.1	0.1
qid:7029	US	0.9	0	0.1
qid:3651	UK	0.2	0.3	0.5
qid:7731	US	0.5	0.3	0.2
qid:1864	US	0.1	0.8	0.1
qid:9250	US	0.7	0.2	0.1
qid:12562	US	0.8	0.1	0.1
qid:13867	US	0.9	0.1	0
qid:15860	US	0.9	0	0.1
qid:3728	US	0.6	0.3	0.1
qid:12878	US	0.3	0.4	0.3
qid:7752	US	0.7	0.1	0.2
qid:14205	US	0.6	0.3	0.1
qid:5096	US	0.7	0.2	0.1
qid:1670	US	0.8	0.1	0.1
qid:15861	JP	0.4	0.3	0.3
qid:3543	US	0.7	0.2	0.1
qid:6956	US	0.9	0.1	0
qid:11716	US	0.2	0.5	0.3
qid:787	IN	0.7	0.2	0.1
qid:15563	US	0.6	0.2	0.2
qid:8351	US	0.5	0.3	0.2
qid:2534	US	0.4	0.2	0.4
qid:1840	US	0.4	0.1	0.5
qid:13919	US	0.8	0.1	0.1
qid:12554	US	0.3	0.5	0.2
qid:9626	US	0.2	0.4	0.4
qid:9221	US	0.3	0.5	0.2
qid:2602	US	0.6	0.2	0.2
qid:7739	US	0.9	0.1	0
qid:9804	US	0.2	0.5	0.3
qid:3771	US	0.4	0.6	0
qid:5146	US	0.9	0.1	0
qid:15401	US	0.8	0.1	0.1
qid:15862	US	0.7	0.2	0.1
qid:11362	US	0.3	0.6	0.1
qid:1594	US	0.1	0.8	0.1
qid:3584	US	0.9	0.1	0
qid:2467	US	0.4	0.4	0.2
qid:90	US	0.7	0.3	0
qid:13963	US	0.6	0.2	0.2
qid:15853	US	0.8	0.1	0.1
qid:5387	US	0.2	0.7	0.1
qid:5118	IT	0.8	0.1	0.1
qid:9236	US	0.7	0.2	0.1
qid:7411	US	0.8	0.1	0.1
qid:7746	US	0.9	0.1	0
qid:55	US	0.8	0.1	0.1
qid:1646	US	0.9	0.05	0.05
qid:3691	US	0.3	0.2	0.5
qid:5208	US	0.7	0.1	0.2
qid:13817	US	0.1	0.5	0.4
qid:5384	US	0.2	0.3	0.5
qid:2463	US	0.9	0.05	0.05
qid:15858	US	0.7	0.1	0.2
qid:9214	US	0.8	0.1	0.1
qid:6983	US	0.1	0.7	0.2
qid:3578	US	0.1	0.2	0.7
qid:8786	US	0.8	0.1	0.1
qid:7727	US	0.8	0.1	0.1
qid:11724	US	0.6	0.1	0.3
qid:14799	US	0.6	0.2	0.2
qid:9641	US	0.7	0.1	0.2
qid:2391	US	0.3	0.2	0.5
qid:14129	US	0.1	0.3	0.6
qid:1683	US	0.7	0.2	0.1
qid:7217	US	0.8	0.1	0.1
qid:16179	US	0.4	0.1	0.5
qid:15572	US	0.6	0.2	0.2
qid:12560	US	0.8	0.1	0.1
qid:5249	US	0.3	0.1	0.6
qid:5380	US	0.2	0.6	0.2
qid:9620	US	0.7	0.2	0.1
qid:8237	US	0.3	0.3	0.4
qid:747	US	0.3	0.1	0.6
qid:3754	US	0.3	0.1	0.6
qid:13792	US	0.4	0.2	0.4
qid:2607	US	0.7	0.2	0.1
qid:7270	US	0.4	0.4	0.2
qid:8283	US	0.4	0.3	0.3
qid:3638	US	0.8	0.1	0.1
qid:3490	US	0.8	0.1	0.1
qid:8821	US	0.7	0.1	0.2
qid:1658	US	0.6	0.2	0.2
qid:4938	US	0.2	0.6	0.2
qid:85	US	0.6	0.2	0.2
qid:13870	US	0.1	0.2	0.7
qid:11725	US	0.2	0.2	0.6
qid:7496	US	0.3	0.1	0.6
qid:8355	US	0.7	0.1	0.2
qid:15473	US	0.3	0.5	0.2
qid:3626	US	0.8	0.1	0.1
qid:5128	US	0.9	0.05	0.05
qid:7742	US	0.2	0.1	0.7
qid:7271	US	0.8	0.1	0.1
qid:12573	US	0.2	0.1	0.7
qid:78	US	0.6	0.3	0.1
qid:2395	US	0.4	0.5	0.1
qid:1856	US	0.8	0.1	0.1
qid:8816	US	0.6	0.2	0.2
qid:4985	UK	0.7	0.1	0.2
qid:5378	US	0.3	0.4	0.3
qid:14411	US	0.5	0.2	0.3
qid:8286	UK	0.2	0.6	0.2
qid:1583	US	0.3	0.3	0.4
qid:13943	CA	0.2	0.6	0.2
qid:3593	US	0.7	0.1	0.2
qid:5287	US	0.5	0.3	0.2
qid:6998	US	0.8	0.1	0.1
qid:9265	US	0.9	0.05	0.05
qid:6665	US	0.6	0.2	0.2
qid:15317	US	0.3	0.2	0.5
qid:7489	US	0.4	0.3	0.3
qid:15358	US	0.7	0.1	0.2
qid:5052	US	0.4	0.5	0.1
qid:8303	US	0.6	0.2	0.2
qid:13606	US	0.8	0.1	0.1
qid:3557	US	0.9	0.05	0.05
qid:11358	US	0.3	0.4	0.3
qid:11709	US	0.2	0.6	0.2
qid:1974	FR	0.3	0.2	0.5
qid:8249	US	0.7	0.1	0.2
qid:1682	UK	0.1	0.7	0.2
qid:7221	US	0.6	0.3	0.1
qid:4876	US	0.8	0.1	0.1
qid:5388	US	0.7	0.1	0.2
qid:14397	US	0.9	0.05	0.05
qid:5678	US	0.6	0.2	0.2
qid:5110	US	0.8	0.1	0.1
qid:7726	US	0.7	0.2	0.1
qid:711	US	0.2	0.7	0.1
qid:15221	US	0.2	0.3	0.5
qid:9252	US	0.8	0.1	0.1
qid:13790	US	0.3	0.1	0.6
qid:15425	US	0.1	0.8	0.1
qid:7237	US	0.2	0.6	0.2
qid:8835	US	0.1	0.7	0.2
qid:5011	US	0.7	0.2	0.1
qid:1922	US	0.4	0.4	0.2
qid:8244	US	0.6	0.3	0.1
qid:12575	US	0.5	0.3	0.2
qid:7497	US	0.3	0.4	0.3
qid:3617	US	0.9	0.05	0.05
qid:6994	US	0.7	0.2	0.1
qid:14801	US	0.3	0.4	0.3
qid:5381	US	0.6	0.2	0.2
qid:15413	US	0.4	0.4	0.2
qid:11354	US	0.8	0.2	0
qid:7305	CA	0.4	0.2	0.4
qid:13822	US	0.3	0.3	0.4
qid:4863	IN	0.7	0.1	0.2
qid:15280	US	0.6	0.1	0.3
qid:2616	US	0.5	0.1	0.4
qid:3668	US	0.3	0.2	0.5
qid:8832	BE	0.4	0.3	0.3
qid:9261	JP	0.6	0.1	0.3
qid:5666	US	0.3	0.3	0.4
qid:7743	US	0.6	0.2	0.2
qid:7277	IN	0.4	0.2	0.4
qid:1944	BR	0.7	0.1	0.2
qid:13808	US	0.2	0.5	0.3
qid:6667	UK	0.2	0.6	0.2
qid:1664	US	0.5	0.3	0.2
qid:11711	US	0.4	0.2	0.4
qid:4991	US	0.6	0.1	0.3
qid:14414	US	0.7	0.1	0.2
qid:15299	US	0.6	0.2	0.2
qid:8239	US	0.8	0.1	0.1
qid:2484	US	0.6	0.1	0.3
qid:15470	US	0.3	0.6	0.1
qid:1891	US	0.7	0.1	0.2
qid:8367	CA	0.2	0.4	0.4
qid:3565	US	0.6	0.2	0.2
qid:15228	US	0.6	0.3	0.1
qid:8238	US	0.3	0.4	0.3
qid:7513	US	0.2	0.4	0.4
qid:13670	US	0.6	0.1	0.3
qid:7274	US	0.5	0.2	0.3
qid:6969	US	0.7	0.1	0.2
qid:5154	US	0.7	0.1	0.2
qid:8819	US	0.2	0.5	0.3
qid:93	US	0.6	0.2	0.2
qid:15435	US	0.4	0.3	0.3
qid:14485	US	0.5	0.2	0.3
qid:1874	US	0.3	0.6	0.1
qid:12857	US	0.4	0.4	0.2
qid:2481	IN	0.6	0.1	0.3
qid:9242	US	0.3	0.3	0.4
qid:9601	US	0.3	0.5	0.2
qid:5183	US	0.6	0.1	0.3
qid:11712	US	0.5	0.3	0.2
qid:13858	US	0.5	0.1	0.4
qid:3580	US	0.6	0.1	0.3
qid:6666	US	0.7	0.1	0.2
qid:1900	US	0.5	0.3	0.2
qid:4884	US	0.7	0.1	0.2
qid:15398	US	0.8	0.1	0.1
qid:12865	US	0.4	0.5	0.1
qid:8243	GB	0.6	0.3	0.1
qid:14446	GB	0.3	0.2	0.5
qid:14803	US	0.1	0.6	0.3
qid:2603	US	0.2	0.2	0.6
qid:8344	US	0.7	0.2	0.1
qid:8248	US	0.8	0.1	0.1
qid:7467	US	0.7	0.2	0.1
qid:5830	US	0.1	0.3	0.6
qid:15144	GB	0.6	0.3	0.1
qid:1884	US	0.2	0.3	0.5
qid:15490	US	0.7	0.2	0.1
qid:4965	US	0.8	0.1	0.1
qid:12304	GB	0.2	0.3	0.5
qid:3721	US	0.3	0.4	0.3
qid:12880	US	0.9	0.05	0.05
qid:15166	US	0.2	0.7	0.1
qid:8282	US	0.3	0.4	0.3
qid:2575	US	0.6	0.2	0.2
qid:1968	US	0.2	0.1	0.7
qid:14456	US	0.1	0.2	0.7
qid:9239	US	0.1	0.7	0.2
qid:4901	FR	0.3	0.5	0.2
qid:15424	US	0.9	0.05	0.05
qid:13864	US	0.8	0.1	0.1
qid:8363	US	0.5	0.4	0.1
qid:9530	US	0.8	0.1	0.1
qid:12558	US	0.3	0.2	0.5
qid:82	US	0.2	0.5	0.3
qid:3518	US	0.4	0.2	0.4
qid:5883	US	0.4	0.4	0.2
qid:12874	US	0.1	0.2	0.7
qid:7229	US	0.6	0.1	0.3
qid:6992	US	0.6	0.3	0.1
qid:4960	US	0.4	0.4	0.2
qid:7408	US	0.3	0.5	0.2
qid:1945	US	0.7	0.2	0.1
qid:8294	US	0.8	0.1	0.1
qid:14391	US	0.4	0.3	0.3
qid:15328	US	0.5	0.3	0.2
qid:733	US	0.6	0.2	0.2
qid:2595	US	0.6	0.3	0.1
qid:15422	US	0.7	0.2	0.1
qid:5020	US	0.9	0.05	0.05
qid:5759	US	0.3	0.5	0.2
qid:9612	US	0.1	0.2	0.7
qid:12875	US	0.5	0.4	0.1
qid:5058	US	0.2	0.3	0.5
qid:14492	US	0.4	0.3	0.3
qid:14802	US	0.8	0.1	0.1
qid:4993	CN	0.6	0.3	0.1
qid:5385	US	0.7	0.1	0.2
qid:7353	US	0.3	0.4	0.3
qid:8792	US	0.2	0.3	0.5
qid:9270	US	0.5	0.1	0.4
qid:7437	US	0.3	0.6	0.1
qid:57	US	0.2	0.7	0.1
qid:6978	DE	0.4	0.2	0.4
qid:3700	US	0.8	0.1	0.1
qid:14800	IN	0.6	0.2	0.2
qid:1875	US	0.3	0.4	0.3
qid:5275	UK	0.2	0.5	0.3
qid:7253	UK	0.1	0.4	0.5
qid:9220	US	0.6	0.2	0.2
qid:5761	US	0.2	0.7	0.1
qid:8774	US	0.6	0.1	0.3
qid:15554	US	0.7	0.1	0.2
qid:14197	US	0.8	0.1	0.1
qid:14452	US	0.3	0.5	0.2
qid:3661	US	0.5	0.4	0.1
qid:7463	US	0.2	0.6	0.2
qid:1963	US	0.7	0.2	0.1
qid:8781	US	0.4	0.3	0.3
qid:748	US	0.6	0.1	0.3
qid:13829	US	0.8	0.1	0.1
qid:12871	US	0.7	0.2	0.1
qid:4933	US	0.6	0.2	0.2
qid:9619	US	0.5	0.3	0.2
qid:3530	KR	0.8	0.1	0.1
qid:7877	US	0.2	0.5	0.3
qid:11714	UK	0.3	0.4	0.3
qid:96	US	0.2	0.3	0.5
qid:8346	US	0.1	0.6	0.3
qid:14398	US	0.3	0.3	0.4
qid:13746	US	0.2	0.5	0.3
qid:12555	US	0.4	0.2	0.4
qid:5207	US	0.7	0.2	0.1
qid:3599	US	0.4	0.3	0.3
qid:8807	US	0.6	0.1	0.3
qid:13868	US	0.3	0.5	0.2
qid:14233	US	0.6	0.2	0.2
qid:15326	US	0.7	0.1	0.2
qid:3566	US	0.5	0.3	0.2
qid:6935	US	0.2	0.6	0.2
qid:11717	US	0.3	0.5	0.2
qid:5382	US	0.4	0.4	0.2
qid:8797	US	0.5	0.3	0.2
qid:5193	US	0.4	0.4	0.2
qid:29	US	0.2	0.4	0.4
qid:7311	US	0.7	0.1	0.2
qid:3551	US	0.2	0.8	0
qid:4877	US	0	0.7	0.3
qid:9216	US	0.7	0.2	0.1
qid:13629	US	0.5	0.2	0.3
qid:1898	US	0.8	0.1	0.1
qid:15385	JP	0.1	0	0.9
qid:14517	IN	0.8	0.2	0
qid:7447	AU	0.3	0.7	0
qid:8357	US	0.6	0.3	0.1
qid:3352	US	0	0.3	0.7
qid:8788	IN	0.4	0.1	0.5
qid:3777	US	0.6	0.4	0
qid:14223	US	0.7	0.1	0.2
qid:2612	US	0	0.2	0.8
qid:12868	UK	0.3	0.7	0
qid:13907	US	0	0.7	0.3
qid:12348	IN	0	0.2	0.8
qid:49	CN	0.9	0.1	0
qid:11719	US	0.1	0.8	0.1
qid:6960	JP	0.7	0.1	0.2
qid:7394	US	0	0.5	0.5
qid:15504	US	0.8	0	0.2
qid:7818	US	0	0.2	0.8
qid:5127	US	0.2	0.1	0.7
qid:14243	US	0.2	0.3	0.5
qid:9254	BR	0.5	0.3	0.2
qid:3627	US	0.9	0.1	0
qid:12351	UK	0.4	0.6	0
qid:8373	UK	0.1	0.7	0.2
qid:12862	US	0.8	0.1	0.1
qid:4910	US	0	0.8	0.2
qid:14393	US	0.2	0.8	0
qid:5226	US	0.4	0.3	0.3
qid:8796	US	0.9	0	0.1
qid:15429	US	0.8	0	0.2
qid:94	US	0	0	1
qid:7800	US	0	0	1
qid:5766	US	0.6	0.2	0.2
qid:2549	US	0.9	0	0.1
qid:14329	US	0	0.6	0.4
qid:782	KR	0.9	0.1	0
qid:3384	US	0.2	0.5	0.3
qid:7248	JP	0.8	0.1	0.1
qid:3499	US	0	0.6	0.4
qid:332	US	0.8	0.1	0.1
qid:6938	US	0.3	0.7	0
qid:13850	US	0.2	0.2	0.6
qid:15167	US	0.1	0.7	0.2
qid:3575	US	0	0.1	0.9
qid:13493	US	0	0.2	0.8
qid:12354	GB	0.8	0.1	0.1
qid:15486	US	0.3	0.2	0.5
qid:9281	US	0.2	0.1	0.7
qid:3454	US	0.2	0.6	0.2
qid:4890	Unknown	0.5	0.3	0.2
qid:9550	US	0.2	0.4	0.4
qid:11715	US	0.2	0.3	0.5
qid:3598	Unknown	0.6	0.1	0.3
qid:7903	Unknown	0.7	0.1	0.2
qid:1882	Unknown	0.8	0.1	0.1
qid:12872	US	0.6	0.1	0.3
qid:13900	US	0.7	0.2	0.1
qid:7218	US	0.9	0.05	0.05
qid:280	ID	0.6	0.2	0.2
qid:7389	US	0.3	0.4	0.3
qid:4959	US	0.8	0.1	0.1
qid:3386	Unknown	0.5	0.3	0.2
qid:15391	Unknown	0.1	0.6	0.3
qid:5710	Unknown	0.3	0.5	0.2
qid:3730	Unknown	0.2	0.7	0.1
qid:4342	Unknown	0.8	0.1	0.1
qid:8359	Unknown	0.2	0.6	0.2
qid:1827	Unknown	0.7	0.2	0.1
qid:2599	Unknown	0.3	0.5	0.2
qid:12384	Unknown	0.7	0.1	0.2
qid:4940	Unknown	0.7	0.2	0.1
qid:5274	Unknown	0.6	0.3	0.1
qid:13809	US	0.8	0.1	0.1
qid:7214	Unknown	0.4	0.4	0.2
qid:15484	US	0.3	0.2	0.5
qid:9246	FR	0.2	0.2	0.6
qid:9725	Unknown	0.4	0.2	0.4
qid:6939	US	0.1	0.6	0.3
qid:7788	US	0.1	0.7	0.2
qid:8817	US	0.7	0.2	0.1
qid:10247	Unknown	0.3	0.2	0.5
qid:3595	Unknown	0.9	0.05	0.05
qid:4909	US	0.8	0.1	0.1
qid:1976	Unknown	0.3	0.4	0.3
qid:9207	Unknown	0.1	0.6	0.3
qid:5078	Unknown	0.6	0.2	0.2
qid:7875	Unknown	0.5	0.3	0.2
qid:6950	Unknown	0.2	0.5	0.3
qid:3703	US	0.6	0.2	0.2
qid:12563	Unknown	0.7	0.1	0.2
qid:2397	Unknown	0.8	0.1	0.1
qid:14420	Unknown	0.7	0.1	0.2
qid:5826	Unknown	0.9	0.05	0.05
qid:74	Unknown	0.8	0.1	0.1
qid:14336	Unknown	0.6	0.3	0.1
qid:4879	US	0.6	0.2	0.2
qid:15191	GB	0.3	0.2	0.5
qid:8368	DE	0.1	0.1	0.8
qid:13891	CA	0.7	0.2	0.1
qid:7036	US	0.2	0.3	0.5
qid:7896	US	0.5	0.3	0.2
qid:255	BR	0.8	0.1	0.1
qid:1835	GB	0.3	0.2	0.5
qid:2449	US	0.4	0.3	0.3
qid:3437	US	0.2	0.2	0.6
qid:15387	US	0.6	0.2	0.2
qid:7384	US	0.3	0.5	0.2
qid:4977	US	0.7	0.1	0.2
qid:12571	IN	0.8	0.1	0.1
qid:3762	US	0.4	0.3	0.3
qid:11721	JP	0.6	0.2	0.2
qid:10960	IE	0.2	0.4	0.4
qid:696	IN	0.7	0.1	0.2
qid:9249	US	0.2	0.1	0.7
qid:3591	US	0.3	0.5	0.2
qid:12316	CA	0.2	0.6	0.2
qid:10233	US	0.1	0.7	0.2
qid:4878	US	0.6	0.3	0.1
qid:14475	US	0.5	0.1	0.4
qid:13954	MC	0.8	0.1	0.1
qid:15394	US	0.2	0.4	0.4
qid:45	US	0.7	0.2	0.1
qid:3773	CA	0.6	0.2	0.2
qid:2591	US	0.4	0.3	0.3
qid:4335	US	0.5	0.2	0.3
qid:3422	US	0.2	0.4	0.4
qid:4920	US	0.2	0.6	0.2
qid:3727	US	0.3	0.5	0.2
qid:15542	US	0.6	0.2	0.2
qid:6951	US	0.7	0.2	0.1
qid:2541	US	0.6	0.2	0.2
qid:7796	US	0.4	0.4	0.2
qid:8777	US	0.7	0.1	0.2
qid:14219	US	0.1	0.2	0.7
qid:13846	US	0.6	0.2	0.2
qid:7235	IN	0.4	0.3	0.3
qid:4303	US	0.5	0.2	0.3
qid:8273	FR	0.7	0.1	0.2
qid:15247	FR	0.2	0.3	0.5
qid:7503	US	0.3	0.5	0.2
qid:5097	US	0.6	0.2	0.2
qid:4966	US	0.2	0.5	0.3
qid:8370	US	0.5	0.4	0.1
qid:13623	US	0.1	0.2	0.7
qid:14464	US	0.3	0.1	0.6
qid:2460	gb	0.7	0.2	0.1
qid:15533	us	0.3	0.5	0.2
qid:3690	us	0.8	0.1	0.1
qid:6993	ru	0.9	0.05	0.05
qid:4980	us	0.7	0.2	0.1
qid:325	us	0.8	0.1	0.1
qid:8825	us	0.4	0.3	0.3
qid:7819	ca	0.6	0.3	0.1
qid:9263	us	0.9	0.05	0.05
qid:13827	us	0.6	0.2	0.2
qid:15293	us	0.8	0.1	0.1
qid:8260	us	0.3	0.6	0.1
qid:5175	us	0.7	0.2	0.1
qid:15402	us	0.9	0.05	0.05
qid:10959	br	0.8	0.1	0.1
qid:11707	us	0.4	0.4	0.2
qid:12564	us	0.3	0.3	0.4
qid:3573	us	0.7	0.2	0.1
qid:686	us	0.2	0.7	0.1
qid:12371	us	0.3	0.4	0.3
qid:2478	us	0.8	0.1	0.1
qid:99	us	0.4	0.5	0.1
qid:174	us	0.7	0.2	0.1
qid:15274	us	0.3	0.6	0.1
qid:5059	us	0.7	0.2	0.1
qid:4888	us	0.2	0.7	0.1
qid:9202	us	0.9	0.05	0.05
qid:7035	us	0.5	0.3	0.2
qid:8298	us	0.7	0.2	0.1
qid:2405	us	0.8	0.1	0.1
qid:7899	us	0.7	0.2	0.1
qid:13495	us	0.4	0.4	0.2
qid:15364	us	0.8	0.1	0.1
qid:15217	us	0.8	0.1	0.1
qid:7373	us	0.2	0.7	0.1
qid:4923	us	0.8	0.1	0.1
qid:10228	us	0.8	0.1	0.1
qid:14466	us	0.9	0.05	0.05
qid:3563	us	0.6	0.2	0.2
qid:1837	us	0.4	0.5	0.1
qid:183	mg	0.3	0.6	0.1
qid:7280	us	0.5	0.4	0.1
qid:9515	us	0.7	0.3	0.0
qid:3372	us	0.8	0.1	0.1
qid:15337	us	0.9	0.05	0.05
qid:12353	us	0.7	0.2	0.1
qid:3686	us	0.4	0.5	0.1
qid:5019	us	0.8	0.1	0.1
qid:8289	us	0.6	0.3	0.1
qid:33	us	0.3	0.6	0.1
qid:2428	US	0.6	0.3	0.1
qid:8798	UK	0.2	0.3	0.5
qid:15297	CA	0.8	0.1	0.1
qid:7897	US	0.9	0.1	0.0
qid:14461	US	0.7	0.2	0.1
qid:7200	US	0.8	0.1	0.1
qid:9280	US	0.3	0.2	0.5
qid:15436	US	0.1	0.7	0.2
qid:4871	CA	0.2	0.8	0.0
qid:2385	FR	0.6	0.1	0.3
qid:13936	US	0.7	0.2	0.1
qid:3542	US	0.4	0.3	0.3
qid:12364	US	0.8	0.1	0.1
qid:5782	US	0.1	0.7	0.2
qid:308	JP	0.9	0.1	0.0
